freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.865e+02,2.681e+01,1.440e+01,5.277e+02
1.6,2.803e+02,3.899e+01,2.256e+01,3.418e+02
3.1,3.133e+01,3.029e+01,2.062e+01,8.224e+01
4.7,3.251e+02,2.773e+01,1.924e+01,3.721e+02
6.2,1.134e+03,2.910e+01,1.852e+01,1.182e+03
7.8,1.915e+03,3.139e+01,1.871e+01,1.966e+03
9.4,2.782e+03,3.374e+01,1.895e+01,2.834e+03
10.9,3.768e+03,3.436e+01,1.945e+01,3.821e+03
12.5,4.922e+03,3.969e+01,2.237e+01,4.984e+03
14.0,6.178e+03,4.364e+01,5.117e+01,6.273e+03
15.6,7.700e+03,4.310e+01,5.150e+01,7.794e+03
17.2,1.001e+04,5.028e+01,3.293e+01,1.010e+04
18.7,1.299e+04,6.203e+01,4.529e+01,1.310e+04
20.3,1.686e+04,1.044e+02,6.340e+01,1.702e+04
21.8,2.140e+04,2.197e+02,1.060e+02,2.172e+04
23.4,2.058e+04,5.493e+02,1.187e+02,2.125e+04
25.0,2.094e+04,7.061e+02,8.933e+01,2.173e+04
26.5,2.535e+04,6.469e+02,8.368e+01,2.608e+04
28.1,3.069e+04,5.490e+02,7.562e+01,3.132e+04
29.6,3.660e+04,4.342e+02,6.791e+01,3.710e+04
31.2,4.211e+04,2.374e+02,6.565e+01,4.241e+04
32.8,4.853e+04,3.390e+02,1.186e+02,4.899e+04
34.3,5.851e+04,1.028e+03,2.620e+02,5.980e+04
35.9,7.235e+04,4.103e+03,7.274e+02,7.718e+04
37.4,8.566e+04,1.685e+04,2.126e+03,1.046e+05
39.0,8.657e+04,2.892e+04,3.146e+03,1.186e+05
40.6,8.858e+04,2.550e+04,2.412e+03,1.165e+05
42.1,1.082e+05,1.987e+04,1.318e+03,1.294e+05
43.7,1.296e+05,1.431e+04,6.553e+02,1.445e+05
45.2,1.571e+05,1.024e+04,3.180e+02,1.677e+05
46.8,2.235e+05,9.129e+03,3.257e+02,2.330e+05
48.4,3.153e+05,1.378e+04,8.869e+02,3.299e+05
49.9,4.608e+05,2.632e+04,1.918e+03,4.890e+05
51.5,5.284e+05,3.385e+04,3.118e+03,5.654e+05
53.0,4.747e+05,3.198e+04,3.330e+03,5.100e+05
54.6,4.604e+05,2.978e+04,4.660e+03,4.948e+05
56.2,4.917e+05,3.277e+04,6.997e+03,5.315e+05
57.7,5.813e+05,3.838e+04,9.224e+03,6.289e+05
59.3,8.910e+05,5.190e+04,1.172e+04,9.546e+05
60.8,1.630e+06,6.926e+04,9.339e+03,1.708e+06
62.4,1.870e+06,6.231e+04,7.523e+03,1.939e+06
64.0,1.688e+06,5.159e+04,7.814e+03,1.748e+06
65.5,1.231e+06,4.144e+04,7.492e+03,1.279e+06
67.1,7.249e+05,3.044e+04,6.865e+03,7.622e+05
68.6,4.198e+05,2.174e+04,5.883e+03,4.475e+05
70.2,2.983e+05,1.658e+04,4.614e+03,3.195e+05
71.8,2.328e+05,1.262e+04,4.858e+03,2.503e+05
73.3,2.070e+05,1.055e+04,7.142e+03,2.247e+05
74.9,1.941e+05,1.010e+04,7.930e+03,2.122e+05
76.4,1.848e+05,1.045e+04,6.363e+03,2.017e+05
78.0,1.628e+05,9.689e+03,3.557e+03,1.760e+05
79.6,1.370e+05,8.535e+03,1.667e+03,1.472e+05
81.1,1.352e+05,7.934e+03,8.774e+02,1.440e+05
82.7,1.626e+05,7.475e+03,4.384e+02,1.705e+05
84.2,1.976e+05,6.836e+03,5.389e+02,2.050e+05
85.8,2.256e+05,6.078e+03,1.854e+03,2.335e+05
87.3,2.209e+05,4.907e+03,8.393e+03,2.342e+05
88.9,2.161e+05,3.535e+03,3.910e+04,2.587e+05
90.5,2.214e+05,1.769e+03,9.486e+04,3.180e+05
92.0,2.182e+05,5.259e+02,1.129e+05,3.317e+05
93.6,2.106e+05,2.982e+02,7.744e+04,2.883e+05
95.1,2.100e+05,4.495e+02,5.586e+04,2.663e+05
96.7,2.030e+05,9.729e+02,6.040e+04,2.644e+05
98.3,1.747e+05,1.144e+03,5.810e+04,2.339e+05
99.8,1.757e+05,9.838e+02,5.965e+04,2.363e+05
101.4,1.875e+05,1.246e+03,5.313e+04,2.419e+05
102.9,1.981e+05,1.388e+03,4.743e+04,2.469e+05
104.5,2.095e+05,1.350e+03,4.301e+04,2.539e+05
106.1,2.228e+05,1.143e+03,3.644e+04,2.604e+05
107.6,2.384e+05,8.702e+02,3.001e+04,2.693e+05
109.2,2.621e+05,6.568e+02,2.525e+04,2.880e+05
110.7,2.950e+05,5.227e+02,2.247e+04,3.180e+05
112.3,3.228e+05,3.894e+02,2.060e+04,3.438e+05
113.9,3.808e+05,2.791e+02,2.110e+04,4.022e+05
115.4,4.440e+05,2.190e+02,2.270e+04,4.669e+05
117.0,4.202e+05,2.814e+02,2.177e+04,4.422e+05
118.5,3.543e+05,4.974e+02,1.994e+04,3.748e+05
120.1,3.050e+05,1.001e+03,1.882e+04,3.248e+05
121.7,2.912e+05,1.534e+03,1.472e+04,3.075e+05
123.2,2.601e+05,1.732e+03,1.211e+04,2.739e+05
124.8,2.312e+05,1.720e+03,1.076e+04,2.437e+05
126.3,2.096e+05,1.696e+03,9.217e+03,2.205e+05
127.9,1.841e+05,1.724e+03,7.432e+03,1.933e+05
129.5,1.595e+05,1.693e+03,6.061e+03,1.673e+05
131.0,1.297e+05,1.477e+03,4.792e+03,1.360e+05
132.6,9.332e+04,1.018e+03,3.626e+03,9.796e+04
134.1,5.718e+04,5.075e+02,2.780e+03,6.047e+04
135.7,4.394e+04,4.224e+02,2.377e+03,4.674e+04
137.3,3.809e+04,4.716e+02,2.104e+03,4.067e+04
138.8,3.306e+04,4.959e+02,1.982e+03,3.554e+04
140.4,2.905e+04,5.126e+02,1.856e+03,3.142e+04
141.9,2.614e+04,5.396e+02,1.518e+03,2.820e+04
143.5,2.512e+04,6.231e+02,1.351e+03,2.709e+04
145.1,2.493e+04,7.975e+02,1.378e+03,2.711e+04
146.6,2.433e+04,9.362e+02,1.512e+03,2.678e+04
148.2,2.489e+04,1.407e+03,1.678e+03,2.798e+04
149.7,2.321e+04,2.122e+03,1.663e+03,2.699e+04
151.3,2.108e+04,2.444e+03,1.931e+03,2.546e+04
152.9,1.805e+04,1.685e+03,2.088e+03,2.182e+04
154.4,1.482e+04,1.133e+03,2.224e+03,1.818e+04
156.0,1.159e+04,1.151e+03,2.080e+03,1.482e+04
157.5,9.672e+03,1.458e+03,1.818e+03,1.295e+04
159.1,8.785e+03,1.864e+03,1.638e+03,1.229e+04
160.7,8.304e+03,2.237e+03,1.355e+03,1.190e+04
162.2,9.037e+03,2.885e+03,1.226e+03,1.315e+04
163.8,9.498e+03,3.497e+03,1.026e+03,1.402e+04
165.3,9.502e+03,3.364e+03,7.403e+02,1.361e+04
166.9,9.068e+03,2.776e+03,5.027e+02,1.235e+04
168.5,9.268e+03,2.568e+03,4.120e+02,1.225e+04
170.0,9.931e+03,2.841e+03,5.319e+02,1.330e+04
171.6,1.073e+04,3.689e+03,8.762e+02,1.530e+04
173.1,1.051e+04,4.958e+03,1.187e+03,1.666e+04
174.7,9.461e+03,6.555e+03,1.499e+03,1.751e+04
176.3,8.378e+03,7.525e+03,1.689e+03,1.759e+04
177.8,7.911e+03,7.740e+03,1.904e+03,1.755e+04
179.4,8.398e+03,7.652e+03,2.136e+03,1.819e+04
180.9,9.513e+03,8.206e+03,1.974e+03,1.969e+04
182.5,1.141e+04,8.771e+03,1.652e+03,2.183e+04
184.1,1.163e+04,8.980e+03,1.509e+03,2.211e+04
185.6,1.133e+04,9.896e+03,1.562e+03,2.278e+04
187.2,1.101e+04,1.008e+04,1.538e+03,2.262e+04
188.7,1.145e+04,1.062e+04,1.638e+03,2.372e+04
190.3,1.246e+04,1.172e+04,1.847e+03,2.602e+04
191.9,1.279e+04,1.201e+04,1.965e+03,2.677e+04
193.4,1.124e+04,1.016e+04,1.818e+03,2.321e+04
195.0,8.039e+03,7.380e+03,1.612e+03,1.703e+04
196.5,6.013e+03,6.324e+03,1.383e+03,1.372e+04
198.1,4.278e+03,5.460e+03,1.166e+03,1.091e+04
199.7,2.930e+03,4.173e+03,9.823e+02,8.084e+03
