freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.612e+02,1.948e+02,1.876e+01,3.747e+02
1.6,1.035e+02,1.424e+02,2.848e+01,2.745e+02
3.1,2.071e+01,5.451e+01,2.394e+01,9.916e+01
4.7,2.167e+01,3.421e+02,2.131e+01,3.851e+02
6.2,2.271e+01,1.122e+03,2.289e+01,1.168e+03
7.8,2.294e+01,1.900e+03,2.306e+01,1.946e+03
9.4,2.265e+01,2.849e+03,2.301e+01,2.894e+03
10.9,2.383e+01,4.116e+03,2.516e+01,4.165e+03
12.5,2.934e+01,5.955e+03,9.831e+01,6.083e+03
14.0,4.282e+01,6.588e+03,2.562e+02,6.887e+03
15.6,5.549e+01,7.156e+03,1.232e+02,7.335e+03
17.2,5.575e+01,9.982e+03,4.749e+01,1.009e+04
18.7,9.184e+01,1.403e+04,3.445e+01,1.415e+04
20.3,2.338e+02,1.963e+04,3.218e+01,1.990e+04
21.8,4.943e+02,2.825e+04,4.195e+01,2.878e+04
23.4,9.196e+02,3.459e+04,1.146e+02,3.562e+04
25.0,7.142e+02,2.670e+04,2.594e+02,2.767e+04
26.5,3.869e+02,2.490e+04,4.113e+02,2.569e+04
28.1,3.062e+02,2.879e+04,6.544e+02,2.975e+04
29.6,2.966e+02,4.093e+04,1.112e+03,4.234e+04
31.2,5.322e+02,5.776e+04,1.640e+03,5.993e+04
32.8,1.078e+03,8.200e+04,2.578e+03,8.565e+04
34.3,5.098e+03,1.259e+05,5.063e+03,1.360e+05
35.9,1.340e+04,1.474e+05,6.856e+03,1.676e+05
37.4,1.438e+04,1.425e+05,6.129e+03,1.630e+05
39.0,1.692e+04,1.772e+05,8.037e+03,2.022e+05
40.6,3.798e+04,2.624e+05,1.722e+04,3.176e+05
42.1,7.496e+04,3.289e+05,2.925e+04,4.331e+05
43.7,9.594e+04,2.731e+05,2.965e+04,3.987e+05
45.2,9.828e+04,1.688e+05,2.330e+04,2.904e+05
46.8,9.700e+04,9.931e+04,1.752e+04,2.138e+05
48.4,9.914e+04,6.303e+04,1.383e+04,1.760e+05
49.9,1.068e+05,4.466e+04,1.170e+04,1.631e+05
51.5,1.199e+05,3.476e+04,1.030e+04,1.650e+05
53.0,1.299e+05,2.970e+04,9.345e+03,1.690e+05
54.6,1.401e+05,3.099e+04,9.403e+03,1.805e+05
56.2,1.520e+05,3.531e+04,1.077e+04,1.981e+05
57.7,1.676e+05,3.665e+04,1.326e+04,2.176e+05
59.3,1.740e+05,3.260e+04,1.278e+04,2.194e+05
60.8,1.665e+05,2.686e+04,9.556e+03,2.029e+05
62.4,1.687e+05,2.352e+04,6.714e+03,1.989e+05
64.0,2.301e+05,2.848e+04,5.222e+03,2.638e+05
65.5,4.250e+05,5.168e+04,5.995e+03,4.826e+05
67.1,7.475e+05,1.000e+05,6.942e+03,8.545e+05
68.6,8.114e+05,1.203e+05,5.273e+03,9.370e+05
70.2,6.862e+05,1.082e+05,3.742e+03,7.981e+05
71.8,6.448e+05,1.076e+05,4.098e+03,7.565e+05
73.3,6.363e+05,1.117e+05,4.697e+03,7.527e+05
74.9,5.483e+05,9.900e+04,4.787e+03,6.521e+05
76.4,4.024e+05,7.593e+04,4.706e+03,4.830e+05
78.0,2.873e+05,5.427e+04,4.244e+03,3.458e+05
79.6,2.098e+05,3.980e+04,4.092e+03,2.537e+05
81.1,1.744e+05,3.459e+04,6.627e+03,2.156e+05
82.7,1.282e+05,2.935e+04,1.126e+04,1.688e+05
84.2,7.980e+04,2.396e+04,1.707e+04,1.208e+05
85.8,5.716e+04,2.129e+04,2.123e+04,9.968e+04
87.4,5.442e+04,1.987e+04,2.014e+04,9.443e+04
88.9,6.288e+04,1.940e+04,2.636e+04,1.086e+05
90.5,6.683e+04,1.666e+04,4.564e+04,1.291e+05
92.1,4.776e+04,1.116e+04,5.820e+04,1.171e+05
93.6,4.332e+04,1.597e+04,4.188e+04,1.012e+05
95.2,6.166e+04,2.375e+04,1.408e+04,9.949e+04
96.7,7.140e+04,2.214e+04,9.566e+03,1.031e+05
98.3,5.676e+04,1.626e+04,1.026e+04,8.327e+04
99.9,3.542e+04,1.114e+04,9.343e+03,5.591e+04
101.4,2.162e+04,8.179e+03,6.108e+03,3.591e+04
103.0,2.025e+04,7.565e+03,4.308e+03,3.213e+04
104.5,1.511e+04,8.141e+03,5.647e+03,2.890e+04
106.1,1.028e+04,7.747e+03,4.111e+03,2.214e+04
107.7,1.029e+04,7.166e+03,3.056e+03,2.051e+04
109.2,9.622e+03,6.645e+03,2.686e+03,1.895e+04
110.8,8.291e+03,6.380e+03,2.196e+03,1.687e+04
112.3,7.283e+03,6.241e+03,1.939e+03,1.546e+04
113.9,7.075e+03,6.665e+03,1.958e+03,1.570e+04
115.5,7.112e+03,7.326e+03,1.966e+03,1.640e+04
